Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Galatasaray,4–3,Schalke 04,1–1,3–2
Celtic,0–5,Juventus,0–3,0–2
Arsenal,3–3 (a),Bayern Munich,1–3,2–0
Shakhtar Donetsk,2–5,Borussia Dortmund,2–2,0–3
Milan,2–4,Barcelona,2–0,0–4
Real Madrid,3–2,Manchester United,1–1,2–1
Valencia,2–3,Paris Saint-Germain,1–2,1–1
Porto,1–2,Málaga,1–0,0–2
