Group stage,Group stage.1,Group stage.2,Group stage.3
Chelsea (TH),Valencia (3rd),Montpellier (1st),Shakhtar Donetsk (1st)
Manchester City (1st),Borussia Dortmund (1st),Paris Saint-Germain (2nd),Ajax (1st)
Manchester United (2nd),Bayern Munich (2nd),Porto (1st),Galatasaray (1st)
Arsenal (3rd),Schalke 04 (3rd),Benfica (2nd),Olympiacos (1st)
Real Madrid (1st),Juventus (1st),Zenit Saint Petersburg (1st),Nordsjælland (1st)
Barcelona (2nd),Milan (2nd),,
Play-off round,Play-off round,Play-off round,Play-off round
Champions,Non-champions,Non-champions,Non-champions
,Málaga (4th),Udinese (3rd),Braga (3rd)
,Borussia Mönchengladbach (4th),Lille (3rd),Spartak Moscow (2nd)
Third qualifying round,Third qualifying round,Third qualifying round,Third qualifying round
Champions,Non-champions,Non-champions,Non-champions
Anderlecht (1st),Dynamo Kyiv (2nd),Panathinaikos (2nd),Vaslui (2nd)
CFR Cluj (1st),Feyenoord (2nd),Copenhagen (2nd),Motherwell (3rd)[Note SCO]
Celtic (1st),Fenerbahçe (2nd),Club Brugge (2nd),
Second qualifying round,Second qualifying round,Second qualifying round,Second qualifying round
Basel (1st),Śląsk Wrocław (1st),Debrecen (1st),KR (1st)
Ironi Kiryat Shmona (1st),Žilina (1st),Sheriff Tiraspol (1st),Shakhter Karagandy (1st)
Slovan Liberec (1st),Molde (1st),Ekranas (1st),Budućnost Podgorica (1st)
Red Bull Salzburg (1st),Partizan (1st),Ventspils (1st),Skënderbeu (1st)
AEL Limassol (1st),Helsingborgs IF (1st),Zestaponi (1st),Flora (1st)
Ludogorets Razgrad (1st),Željezničar (1st),Neftçi (1st),The New Saints (1st)
Dinamo Zagreb (1st),HJK (1st),Maribor (1st),Ulisses (1st)
BATE Borisov (1st),Shamrock Rovers (1st),Vardar (1st),
First qualifying round,First qualifying round,First qualifying round,First qualifying round
Valletta (1st),B36 (1st),Lusitanos (1st),Tre Penne (1st)
Linfield (1st),F91 Dudelange (1st),,
