Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,MLG,MIL,ZEN,AND
1,Málaga,6,3,3,0,12,5,+7,12,Advance to knockout phase,,—,1–0,3–0,2–2
2,Milan,6,2,2,2,7,6,+1,8,Advance to knockout phase,,1–1,—,0–1,0–0
3,Zenit Saint Petersburg,6,2,1,3,6,9,−3,7,Transfer to Europa League,,2–2,2–3,—,1–0
4,Anderlecht,6,1,2,3,4,9,−5,5,,,0–3,1–3,1–0,—
