Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,SCH,ARS,OLY,MPL
1,Schalke 04,6,3,3,0,10,6,+4,12,Advance to knockout phase,,—,2–2,1–0,2–2
2,Arsenal,6,3,1,2,10,8,+2,10,Advance to knockout phase,,0–2,—,3–1,2–0
3,Olympiacos,6,3,0,3,9,9,0,9,Transfer to Europa League,,1–2,2–1,—,3–1
4,Montpellier,6,0,2,4,6,12,−6,2,,,1–1,1–2,1–2,—
