Phase,Round,Draw date,First leg,Second leg
Qualifying,First qualifying round,25 June 2012,3–4 July 2012,10–11 July 2012
Qualifying,Second qualifying round,25 June 2012,17–18 July 2012,24–25 July 2012
Qualifying,Third qualifying round,20 July 2012,31 July – 1 August 2012,7–8 August 2012
Play-off,Play-off round,10 August 2012,21–22 August 2012,28–29 August 2012
Group stage,Matchday 1,30 August 2012 (Monaco),18–19 September 2012,18–19 September 2012
Group stage,Matchday 2,30 August 2012 (Monaco),2–3 October 2012,2–3 October 2012
Group stage,Matchday 3,30 August 2012 (Monaco),23–24 October 2012,23–24 October 2012
Group stage,Matchday 4,30 August 2012 (Monaco),6–7 November 2012,6–7 November 2012
Group stage,Matchday 5,30 August 2012 (Monaco),20–21 November 2012,20–21 November 2012
Group stage,Matchday 6,30 August 2012 (Monaco),4–5 December 2012,4–5 December 2012
Knockout phase,Round of 16,20 December 2012,12–13 & 19–20 February 2013,5–6 & 12–13 March 2013
Knockout phase,Quarter-finals,15 March 2013,2–3 April 2013,9–10 April 2013
Knockout phase,Semi-finals,12 April 2013,23–24 April 2013,30 April – 1 May 2013
Knockout phase,Final,12 April 2013,"25 May 2013 at Wembley Stadium, London","25 May 2013 at Wembley Stadium, London"
