Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,MUN,GAL,CLJ,BRA
1,Manchester United,6,4,0,2,9,6,+3,12,Advance to knockout phase,,—,1–0,0–1,3–2
2,Galatasaray,6,3,1,2,7,6,+1,10[a],Advance to knockout phase,,1–0,—,1–1,0–2
3,CFR Cluj,6,3,1,2,9,7,+2,10[a],Transfer to Europa League,,1–2,1–3,—,3–1
4,Braga,6,1,0,5,7,13,−6,3,,,1–3,1–2,0–2,—
