Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,DOR,RMA,AJX,MCI
1,Borussia Dortmund,6,4,2,0,11,5,+6,14,Advance to knockout phase,,—,2–1,1–0,1–0
2,Real Madrid,6,3,2,1,15,9,+6,11,Advance to knockout phase,,2–2,—,4–1,3–2
3,Ajax,6,1,1,4,8,16,−8,4,Transfer to Europa League,,1–4,1–4,—,3–1
4,Manchester City,6,0,3,3,7,11,−4,3,,,1–1,1–1,2–2,—
