Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAY,VAL,BATE,LIL
1,Bayern Munich,6,4,1,1,15,7,+8,13[a],Advance to knockout phase,,—,2–1,4–1,6–1
2,Valencia,6,4,1,1,12,5,+7,13[a],Advance to knockout phase,,1–1,—,4–2,2–0
3,BATE Borisov,6,2,0,4,9,15,−6,6,Transfer to Europa League,,3–1,0–3,—,0–2
4,Lille,6,1,0,5,4,13,−9,3,,,0–1,0–1,1–3,—
