Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAR,CEL,BEN,SPM
1,Barcelona,6,4,1,1,11,5,+6,13,Advance to knockout phase,,—,2–1,0–0,3–2
2,Celtic,6,3,1,2,9,8,+1,10,Advance to knockout phase,,2–1,—,0–0,2–1
3,Benfica,6,2,2,2,5,5,0,8,Transfer to Europa League,,0–2,2–1,—,2–0
4,Spartak Moscow,6,1,0,5,7,14,−7,3,,,0–3,2–3,2–1,—
