Rank,Name,Team,Goals
1,Eduard Markarov,Ararat Yerevan,5
1,Gerd Müller,Bayern Munich,5
3,Reine Almqvist,Åtvidaberg,4
3,Manuel Clares,Barcelona,4
3,Allan Clarke,Leeds United,4
3,Wilhelm Kreuz,Feyenoord,4
3,Peter Lorimer,Leeds United,4
3,Carles Rexach,Barcelona,4
3,Lex Schoenmaker,Feyenoord,4
