Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Ruch Chorzów,3–4,Saint-Étienne,3–2,0–2
Bayern Munich,2–1,Ararat Yerevan,2–0,0–1
Leeds United,4–0,Anderlecht,3–0,1–0
Barcelona,5–0,Åtvidaberg,2–0,3–0
