0,1,2
VÖEST Linz (1st),Anderlecht (1st),Levski-Spartak (1st)
Omonia (1st),Slovan Bratislava (1st),Hvidovre (1st)
Leeds United (1st),HJK (1st),Saint-Étienne (1st)
Magdeburg (1st),Bayern Munich (1st)TH,Olympiacos (1st)
Újpesti Dózsa (1st),Keflavík (1st),Cork Celtic (1st)
Jeunesse Esch (1st),Valletta (1st),Feyenoord (1st)
Coleraine (1st),Viking (1st),Ruch Chorzów (1st)
Sporting CP (1st),Universitatea Craiova (1st),Celtic (1st)
Barcelona (1st),Åtvidaberg (1st),Zürich (1st)
Fenerbahçe (1st),Ararat Yerevan (1st),Hajduk Split (1st)
