Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
AEK Athens,2–7,Nottingham Forest,1–2,1–5
Real Madrid,3–3 (a),Grasshopper,3–1,0–2
Lokomotiv Sofia,0–5,Köln,0–1,0–4
Rangers,3–2,PSV Eindhoven,0–0,3–2
Austria Wien,4–1,Lillestrøm,4–1,0–0
Bohemians,0–6,Dynamo Dresden,0–0,0–6
Zbrojovka Brno,3–3 (a),Wisła Kraków,2–2,1–1
Dynamo Kyiv,0–2,Malmö FF,0–0,0–2
