Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Nottingham Forest,5–2,Grasshopper,4–1,1–1
Köln,2–1,Rangers,1–0,1–1
Austria Wien,3–2,Dynamo Dresden,3–1,0–1
Wisła Kraków,3–5,Malmö FF,2–1,1–4
