Rank,Name,Team,Goals
1,Claudio Sulser,Grasshopper,11
2,Garry Birtles,Nottingham Forest,6
3,Dieter Müller,Köln,5
3,Walter Schachner,Austria Wien,5
5,Dušan Bajević,AEK Athens,4
5,Kazimierz Kmiecik,Wisła Kraków,4
5,Willy van der Kuijlen,PSV Eindhoven,4
8,Gerrie Deijkers,PSV Eindhoven,3
8,Roger van Gool,Köln,3
8,Juanito,Real Madrid,3
8,Karel Kroupa,Zbrojovka Brno,3
8,Anders Ljungberg,Malmö FF,3
8,Raimondo Ponte,Grasshopper,3
8,Santillana,Real Madrid,3
