Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg,Play-off
Górnik Zabrze,3–4,Dukla Prague,2–0,1–4,
Benfica,2–6,Borussia Dortmund,2–1,0–5,
Jeunesse Esch,4–7,Partizan,2–1,2–6,
Inter Milan,4–1,Monaco,1–0,3–1,
Spartak Plovdiv,0–1,PSV Eindhoven,0–1,0–0,
Zürich,2–2 (ct),Galatasaray,2–0,0–2,2–2[a]
Dinamo București,4–8,Real Madrid,1–3,3–5,
IFK Norrköping,3–6,Milan,1–1,2–5,
