Rank,Player,Team,Goals
1,Vladica Kovačević,Partizan,7
1,Sandro Mazzola,Inter Milan,7
1,Ferenc Puskás,Real Madrid,7
4,Franz Brungs,Borussia Dortmund,6
4,Metin Oktay,Galatasaray,6
4,Reinhold Wosab,Borussia Dortmund,6
7,Alfredo Di Stéfano,Real Madrid,5
7,Josef Jelínek,Dukla Prague,5
7,Pierre Kerkhoffs,PSV Eindhoven,5
7,Rudolf Kučera,Dukla Prague,5
