Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Dukla Prague,3–5,Borussia Dortmund,0–4,3–1
Partizan,1–4,Inter Milan,0–2,1–2
PSV Eindhoven,2–3,Zürich,1–0,1–3
Real Madrid,4–3,Milan,4–1,0–2
