Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAY,ARS,OLY,DZG
1,Bayern Munich,6,5,0,1,19,3,+16,15,Advance to knockout phase,,—,5–1,4–0,5–0
2,Arsenal,6,3,0,3,12,10,+2,9,Advance to knockout phase,,2–0,—,2–3,3–0
3,Olympiacos,6,3,0,3,6,13,−7,9,Transfer to Europa League,,0–3,0–3,—,2–1
4,Dinamo Zagreb,6,1,0,5,3,14,−11,3,,,0–2,2–1,0–1,—
