Phase,Round,Draw date,First leg,Second leg
Qualifying,First qualifying round,22 June 2015,30 June–1 July 2015,7–8 July 2015
Qualifying,Second qualifying round,22 June 2015,14–15 July 2015,21–22 July 2015
Qualifying,Third qualifying round,17 July 2015,28–29 July 2015,4–5 August 2015
Play-off,Play-off round,7 August 2015,18–19 August 2015,25–26 August 2015
Group stage,Matchday 1,27 August 2015 (Monaco),15–16 September 2015,15–16 September 2015
Group stage,Matchday 2,27 August 2015 (Monaco),29–30 September 2015,29–30 September 2015
Group stage,Matchday 3,27 August 2015 (Monaco),20–21 October 2015,20–21 October 2015
Group stage,Matchday 4,27 August 2015 (Monaco),3–4 November 2015,3–4 November 2015
Group stage,Matchday 5,27 August 2015 (Monaco),24–25 November 2015,24–25 November 2015
Group stage,Matchday 6,27 August 2015 (Monaco),8–9 December 2015,8–9 December 2015
Knockout phase,Round of 16,14 December 2015,16–17 & 23–24 February 2016,8–9 & 15–16 March 2016
Knockout phase,Quarter-finals,18 March 2016,5–6 April 2016,12–13 April 2016
Knockout phase,Semi-finals,15 April 2016,26–27 April 2016,3–4 May 2016
Knockout phase,Final,15 April 2016,"28 May 2016 at Stadio San Siro, Milan","28 May 2016 at Stadio San Siro, Milan"
