Rank,Player,Team,Goals,Minutes played
1,Cristiano Ronaldo,Real Madrid,16,1109
2,Robert Lewandowski,Bayern Munich,9,942
3,Luis Suárez,Barcelona,8,810
3,Thomas Müller,Bayern Munich,8,926
5,Antoine Griezmann,Atlético Madrid,7,1135
6,Lionel Messi,Barcelona,6,630
6,Artem Dzyuba,Zenit Saint Petersburg,6,633
8,Olivier Giroud,Arsenal,5,384
8,Javier Hernández,Bayer Leverkusen,5,487
8,Willian,Chelsea,5,642
8,Zlatan Ibrahimović,Paris Saint-Germain,5,880
