Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,ATM,BEN,GAL,AST
1,Atlético Madrid,6,4,1,1,11,3,+8,13,Advance to knockout phase,,—,1–2,2–0,4–0
2,Benfica,6,3,1,2,10,8,+2,10,Advance to knockout phase,,1–2,—,2–1,2–0
3,Galatasaray,6,1,2,3,6,10,−4,5,Transfer to Europa League,,0–2,2–1,—,1–1
4,Astana,6,0,4,2,5,11,−6,4,,,0–0,2–2,2–2,—
