Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,ZEN,GNT,VAL,LYO
1,Zenit Saint Petersburg,6,5,0,1,13,6,+7,15,Advance to knockout phase,,—,2–1,2–0,3–1
2,Gent,6,3,1,2,8,7,+1,10,Advance to knockout phase,,2–1,—,1–0,1–1
3,Valencia,6,2,0,4,5,9,−4,6,Transfer to Europa League,,2–3,2–1,—,0–2
4,Lyon,6,1,1,4,5,9,−4,4,,,0–2,1–2,0–1,—
