Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,CHE,DKV,POR,MTA
1,Chelsea,6,4,1,1,13,3,+10,13,Advance to knockout phase,,—,2–1,2–0,4–0
2,Dynamo Kyiv,6,3,2,1,8,4,+4,11,Advance to knockout phase,,0–0,—,2–2,1–0
3,Porto,6,3,1,2,9,8,+1,10,Transfer to Europa League,,2–1,0–2,—,2–0
4,Maccabi Tel Aviv,6,0,0,6,1,16,−15,0,,,0–4,0–2,1–3,—
