Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
VfL Wolfsburg,2–3,Real Madrid,2–0,0–3
Bayern Munich,3–2,Benfica,1–0,2–2
Barcelona,2–3,Atlético Madrid,2–1,0–2
Paris Saint-Germain,2–3,Manchester City,2–2,0–1
