Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,MON,LEV,SPO,LIE
1,Monaco,6,4,1,1,15,8,+7,13,Advance to knockout stage,,—,4–0,3–2,5–1
2,Bayer Leverkusen,6,4,1,1,11,7,+4,13,Advance to knockout stage,,2–2,—,4–1,1–0
3,Sporting CP,6,2,1,3,9,11,−2,7,,,3–0,0–2,—,2–1
4,Lierse,6,0,1,5,3,12,−9,1,,,0–1,0–2,1–1,—
