Pos,Grp,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification
1,F,Bayer Leverkusen,6,4,1,1,11,7,4,13,Advance to knockout stage
2,B,Juventus,6,4,0,2,12,8,4,12,Advance to knockout stage
3,E,Paris Saint-Germain,6,4,0,2,11,10,1,12,
4,D,Rosenborg,6,3,2,1,13,8,5,11,
5,C,PSV Eindhoven,6,2,3,1,9,8,1,9,
6,A,Parma,6,2,3,1,6,5,1,9,
