Group stage,Group stage.1,Group stage.2,Group stage.3
Borussia Dortmund (TH),Real Madrid (1st),Bayern Munich (1st),Porto (1st)
Juventus (1st),Monaco (1st),PSV Eindhoven (1st),Manchester United (1st)
Second qualifying round,Second qualifying round,Second qualifying round,Second qualifying round
Parma (2nd),Sporting CP (2nd),Olympiacos (1st),Brøndby (1st)
Barcelona (2nd),Newcastle United (2nd),Wüstenrot Salzburg (1st),IFK Göteborg (1st)
Paris Saint-Germain (2nd),Galatasaray (1st),Spartak Moscow (1st),Rosenborg (1st)
Bayer Leverkusen (2nd),Beşiktaş (2nd),Lierse (1st),Sparta Prague (1st)
Feyenoord (2nd),,,
First qualifying round,First qualifying round,First qualifying round,First qualifying round
Sion (1st),MTK (1st),CSKA Sofia (1st),Lantana (1st)
Widzew Łódź (1st),Dinamo Tbilisi (1st),Sileks (1st),Valletta (1st)
Rangers (1st),Košice (1st),Kareda (1st),Derry City (1st)
Steaua București (1st),Skonto (1st),Constructorul Chișinău (1st),Pyunik (1st)
Croatia Zagreb (1st),Maribor (1st),Crusaders (1st),Jeunesse Esch (1st)
Dynamo Kyiv (1st),Jazz (1st),Barry Town (1st),GÍ (1st)
Anorthosis Famagusta (1st),MPKC Mozyr (1st),Partizan (1st),Neftçi (1st)
Beitar Jerusalem (1st),ÍA (1st),,
