Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Bayer Leverkusen,1–4,Real Madrid,1–1,0–3
Bayern Munich,0–1,Borussia Dortmund,0–0,0–1 (a.e.t.)
Juventus,5–2,Dynamo Kyiv,1–1,4–1
Monaco,1–1 (a),Manchester United,0–0,1–1
