Phase,Round,Draw date,First leg,Second leg
Qualifying,First qualifying round,9 July 1997,23 July 1997,30 July 1997
Qualifying,Second qualifying round,9 July 1997,13 August 1997,27 August 1997
Group stage,Matchday 1,29 August 1997,17 September 1997,17 September 1997
Group stage,Matchday 2,29 August 1997,1 October 1997,1 October 1997
Group stage,Matchday 3,29 August 1997,22 October 1997,22 October 1997
Group stage,Matchday 4,29 August 1997,5 November 1997,5 November 1997
Group stage,Matchday 5,29 August 1997,26–27 November 1997,26–27 November 1997
Group stage,Matchday 6,29 August 1997,10 December 1997,10 December 1997
Knockout phase,Quarter-finals,17 December 1997,4 March 1998,18 March 1998
Knockout phase,Semi-finals,20 March 1998 (Lausanne),1 April 1998,15 April 1998
Knockout phase,Final,20 March 1998 (Lausanne),"20 May 1998 at Amsterdam Arena, Amsterdam","20 May 1998 at Amsterdam Arena, Amsterdam"
