Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Beşiktaş,3–1,Maribor,0–0,3–1
MTK,1–4,Rosenborg,0–1[a],1–3
Sion,2–8,Galatasaray,1–4,1–4
Olympiacos,7–2,MPKC Mozyr,5–0,2–2
Wüstenrot Salzburg,0–3,Sparta Prague,0–0,0–3
IFK Göteborg,4–1,Rangers,3–0,1–1
Barcelona,4–2,Skonto,3–2,1–0
Brøndby,3–4,Dynamo Kyiv,2–4,1–0
Newcastle United,4–3,Croatia Zagreb,2–1,2–2 (a.e.t.)
Feyenoord,8–3,Jazz,6–2,2–1
Bayer Leverkusen,6–2,Dinamo Tbilisi,6–1,0–1
Košice,2–1,Spartak Moscow,2–1,0–0
Steaua București,3–5,Paris Saint-Germain,3–0[b],0–5
Widzew Łódź,1–7,Parma,1–3,0–4
Beitar Jerusalem,0–3,Sporting CP,0–0,0–3
Anorthosis Famagusta,2–3,Lierse,2–0,0–3
