Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAY,PAR,BES,GOT
1,Bayern Munich,6,4,0,2,13,6,+7,12,Advance to knockout stage,,—,5–1,2–0,0–1
2,Paris Saint-Germain,6,4,0,2,11,10,+1,12,,,3–1,—,2–1,3–0
3,Beşiktaş,6,2,0,4,6,9,−3,6,,,0–2,3–1,—,1–0
4,IFK Göteborg,6,2,0,4,4,9,−5,6,,,1–3,0–1,2–1,—
