0,1,2,3
Rapid Wien (3rd),Anderlecht (1st),AGF (1st),Reims (1st)
Vörös Lobogó (2nd),Milan (1st),PSV Eindhoven (3rd),Gwardia Warsaw (4th)
Sporting CP (3rd),Saarbrücken (3rd),Hibernian (5th),Real Madrid (1st)
Djurgården (1st),Servette (6th),Rot-Weiss Essen (1st),Partizan (5th)
