Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Sporting CP,5–8,Partizan,3–3,2–5
Vörös Lobogó,10–4,Anderlecht,6–3,4–1
Servette,0–7,Real Madrid,0–2,0–5
Rot-Weiss Essen,1–5,Hibernian,0–4,1–1
Djurgården,4–1,Gwardia Warsaw,0–0,4–1
AGF,2–4,Reims,0–2,2–2
Rapid Wien,6–2,PSV Eindhoven,6–1,0–1
Milan,7–5,Saarbrücken,3–4,4–1
