Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,JUV,RMA,ZEN,BATE
1,Juventus,6,3,3,0,7,3,+4,12,Advance to knockout phase,,—,2–1,1–0,0–0
2,Real Madrid,6,4,0,2,9,5,+4,12,Advance to knockout phase,,0–2,—,3–0,2–0
3,Zenit Saint Petersburg,6,1,2,3,4,7,−3,5,Transfer to UEFA Cup,,0–0,1–2,—,1–1
4,BATE Borisov,6,0,3,3,3,8,−5,3,,,2–2,0–1,0–2,—
