Phase,Round,Draw date,First leg,Second leg
Qualifying,First qualifying round,1 July 2008,15–16 July 2008,22–23 July 2008
Qualifying,Second qualifying round,1 July 2008,29–30 July 2008,5–6 August 2008
Qualifying,Third qualifying round,1 August 2008,12–13 August 2008,26–27 August 2008
Group stage,Matchday 1,28 August 2008,16–17 September 2008,16–17 September 2008
Group stage,Matchday 2,28 August 2008,30 September–1 October 2008,30 September–1 October 2008
Group stage,Matchday 3,28 August 2008,21–22 October 2008,21–22 October 2008
Group stage,Matchday 4,28 August 2008,4–5 November 2008,4–5 November 2008
Group stage,Matchday 5,28 August 2008,25–26 November 2008,25–26 November 2008
Group stage,Matchday 6,28 August 2008,9–10 December 2008,9–10 December 2008
Knockout phase,Round of 16,19 December 2008,24–25 February 2009,10–11 March 2009
Knockout phase,Quarter-finals,20 March 2009,7–8 April 2009,14–15 April 2009
Knockout phase,Semi-finals,20 March 2009,28–29 April 2009,5–6 May 2009
Knockout phase,Final,20 March 2009,"27 May 2009 at Stadio Olimpico, Rome","27 May 2009 at Stadio Olimpico, Rome"
