Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,POR,ARS,DKV,FEN
1,Porto,6,4,0,2,9,8,+1,12,Advance to knockout phase,,—,2–0,0–1,3–1
2,Arsenal,6,3,2,1,11,5,+6,11,Advance to knockout phase,,4–0,—,1–0,0–0
3,Dynamo Kyiv,6,2,2,2,4,4,0,8,Transfer to UEFA Cup,,1–2,1–1,—,1–0
4,Fenerbahçe,6,0,2,4,4,11,−7,2,,,1–2,2–5,0–0,—
