Group stage,Group stage.1,Group stage.2,Group stage.3
Real Madrid (1st),Internazionale (1st),Bayern Munich (1st),CFR Cluj (1st)
Villarreal (2nd),Roma (2nd),Werder Bremen (2nd),PSV Eindhoven (1st)
Manchester United (1st)TH,Lyon (1st),Porto (1st)[Note POR],Zenit Saint Petersburg (1st)
Chelsea (2nd),Bordeaux (2nd),Sporting CP (2nd),Celtic (1st)
Third qualifying round,Third qualifying round,Third qualifying round,Third qualifying round
Barcelona (3rd),Fiorentina (4th),Twente (PO),Slavia Prague (1st)
Atlético Madrid (4th),Marseille (3rd),Spartak Moscow (2nd),Galatasaray (1st)
Arsenal (3rd),Schalke 04 (3rd),Shakhtar Donetsk (1st),Olympiacos (1st)
Liverpool (4th),Vitória de Guimarães (3rd),Standard Liège (1st),Levski Sofia (2nd)[Note BUL]
Juventus (3rd),Steaua București (2nd),,
Second qualifying round,Second qualifying round,Second qualifying round,Second qualifying round
Rangers (2nd),Fenerbahçe (2nd),Beitar Jerusalem (1st),Rapid Wien (1st)
Dynamo Kyiv (2nd),Panathinaikos (PO),Partizan (1st),Wisła Kraków (1st)
Anderlecht (2nd),Basel (1st),AaB (1st),MTK Budapest (1st)
Sparta Prague (2nd),Brann (1st),,
First qualifying round,First qualifying round,First qualifying round,First qualifying round
Artmedia Petržalka (1st),Kaunas (1st),BATE Borisov (1st),Llanelli (1st)
Dinamo Zagreb (1st),Tampere United (1st),Dinamo Tirana (1st),NSÍ (1st)
Anorthosis Famagusta (1st),Sheriff Tiraspol (1st),Levadia Tallinn (1st),F91 Dudelange (1st)
IFK Göteborg (1st),Drogheda United (1st),Pyunik (1st),Valletta (1st)
Domžale (1st),Dinamo Tbilisi (1st),Inter Baku (1st),FC Santa Coloma (1st)
Modriča (1st),Rabotnicki (1st),Aktobe (1st),Murata (1st)
Ventspils (1st),Valur (1st),Linfield (1st),Budućnost Podgorica (1st)
