Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,MUN,VIL,AAB,CEL
1,Manchester United,6,2,4,0,9,3,+6,10,Advance to knockout phase,,—,0–0,2–2,3–0
2,Villarreal,6,2,3,1,9,7,+2,9,Advance to knockout phase,,0–0,—,6–3,1–0
3,AaB,6,1,3,2,9,14,−5,6,Transfer to UEFA Cup,,0–3,2–2,—,2–1
4,Celtic,6,1,2,3,4,7,−3,5,,,1–1,2–0,0–0,—
