Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Villarreal,1–4,Arsenal,1–1,0–3
Manchester United,3–2,Porto,2–2,1–0
Liverpool,5–7,Chelsea,1–3,4–4
Barcelona,5–1,Bayern Munich,4–0,1–1
