Rank[22],Player,Team,Goals,Minutes played
1,Lionel Messi,Barcelona,9,982
2,Steven Gerrard,Liverpool,7,580
2,Miroslav Klose,Bayern Munich,7,680
4,Lisandro López,Porto,6,943
5,Emmanuel Adebayor,Arsenal,5,627
5,Alessandro Del Piero,Juventus,5,688
5,Didier Drogba,Chelsea,5,702
5,Robin van Persie,Arsenal,5,716
5,Thierry Henry,Barcelona,5,717
5,Karim Benzema,Lyon,5,731
