Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAY,LYO,FIO,STE
1,Bayern Munich,6,4,2,0,12,4,+8,14,Advance to knockout phase,,—,1–1,3–0,3–0
2,Lyon,6,3,2,1,14,10,+4,11,Advance to knockout phase,,2–3,—,2–2,2–0
3,Fiorentina,6,1,3,2,5,8,−3,6,Transfer to UEFA Cup,,1–1,1–2,—,0–0
4,Steaua București,6,0,1,5,3,12,−9,1,,,0–1,3–5,0–1,—
