Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,PAN,INT,BRM,ANO
1,Panathinaikos,6,3,1,2,8,7,+1,10,Advance to knockout phase,,—,0–2,2–2,1–0
2,Internazionale,6,2,2,2,8,7,+1,8,Advance to knockout phase,,0–1,—,1–1,1–0
3,Werder Bremen,6,1,4,1,7,9,−2,7,Transfer to UEFA Cup,,0–3,2–1,—,0–0
4,Anorthosis Famagusta,6,1,3,2,8,8,0,6,,,3–1,3–3,2–2,—
