Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,LIV,ATM,MAR,PSV
1,Liverpool,6,4,2,0,11,5,+6,14,Advance to knockout phase,,—,1–1,1–0,3–1
2,Atlético Madrid,6,3,3,0,9,4,+5,12,Advance to knockout phase,,1–1,—,2–1,2–1
3,Marseille,6,1,1,4,5,7,−2,4,Transfer to UEFA Cup,,1–2,0–0,—,3–0
4,PSV Eindhoven,6,1,0,5,5,14,−9,3,,,1–3,0–3,2–0,—
