Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,CHE,MAR,SPM,ZIL
1,Chelsea,6,5,0,1,14,4,+10,15,Advance to knockout phase,,—,2–0,4–1,2–1
2,Marseille,6,4,0,2,12,3,+9,12,Advance to knockout phase,,1–0,—,0–1,1–0
3,Spartak Moscow,6,3,0,3,7,10,−3,9,Transfer to Europa League,,0–2,0–3,—,3–0
4,Žilina,6,0,0,6,3,19,−16,0,,,1–4,0–7,1–2,—
