Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,RMA,MIL,AJX,AUX
1,Real Madrid,6,5,1,0,15,2,+13,16,Advance to knockout phase,,—,2–0,2–0,4–0
2,Milan,6,2,2,2,7,7,0,8,Advance to knockout phase,,2–2,—,0–2,2–0
3,Ajax,6,2,1,3,6,10,−4,7,Transfer to Europa League,,0–4,1–1,—,2–1
4,Auxerre,6,1,0,5,3,12,−9,3,,,0–1,0–2,2–1,—
