Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,SCH,LYO,BEN,HTA
1,Schalke 04,6,4,1,1,10,3,+7,13,Advance to knockout phase,,—,3–0,2–0,3–1
2,Lyon,6,3,1,2,11,10,+1,10,Advance to knockout phase,,1–0,—,2–0,2–2
3,Benfica,6,2,0,4,7,12,−5,6,Transfer to Europa League,,1–2,4–3,—,2–0
4,Hapoel Tel Aviv,6,1,2,3,7,10,−3,5,,,0–0,1–3,3–0,—
