Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,TOT,INT,TWE,BRM
1,Tottenham Hotspur,6,3,2,1,18,11,+7,11,Advance to knockout phase,,—,3–1,4–1,3–0
2,Internazionale,6,3,1,2,12,11,+1,10,Advance to knockout phase,,4–3,—,1–0,4–0
3,Twente,6,1,3,2,9,11,−2,6,Transfer to Europa League,,3–3,2–2,—,1–1
4,Werder Bremen,6,1,2,3,6,12,−6,5,,,2–2,3–0,0–2,—
