Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,MUN,VAL,RAN,BUR
1,Manchester United,6,4,2,0,7,1,+6,14,Advance to knockout phase,,—,1–1,0–0,1–0
2,Valencia,6,3,2,1,15,4,+11,11,Advance to knockout phase,,0–1,—,3–0,6–1
3,Rangers,6,1,3,2,3,6,−3,6,Transfer to Europa League,,0–1,1–1,—,1–0
4,Bursaspor,6,0,1,5,2,16,−14,1,,,0–3,0–4,1–1,—
