Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Real Madrid,5–0,Tottenham Hotspur,4–0,1–0
Chelsea,1–3,Manchester United,0–1,1–2
Barcelona,6–1,Shakhtar Donetsk,5–1,1–0
Internazionale,3–7,Schalke 04,2–5,1–2
