Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg,Play-off
Nice,3–6,Real Madrid,3–2,0–4,
Barcelona,9–2,Wolverhampton Wanderers,4–0,5–2,
Eintracht Frankfurt,3–2,Wiener Sport-Club,2–1,1–1,
Sparta Rotterdam,3–3,Rangers,2–3,1–0,2–3
