Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,MIL,LIL,AEK,AND
1,Milan,6,3,1,2,8,4,+4,10,Advance to knockout stage,,—,0–2,3–0,4–1
2,Lille,6,2,3,1,8,5,+3,9,Advance to knockout stage,,0–0,—,3–1,2–2
3,AEK Athens,6,2,2,2,6,9,−3,8,Transfer to UEFA Cup,,1–0,1–0,—,1–1
4,Anderlecht,6,0,4,2,7,11,−4,4,,,0–1,1–1,2–2,—
