Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAY,INT,SPM,SPO
1,Bayern Munich,6,3,3,0,10,3,+7,12,Advance to knockout stage,,—,1–1,4–0,0–0
2,Internazionale,6,3,1,2,5,5,0,10,Advance to knockout stage,,0–2,—,2–1,1–0
3,Spartak Moscow,6,1,2,3,7,11,−4,5,Transfer to UEFA Cup,,2–2,0–1,—,1–1
4,Sporting CP,6,1,2,3,3,6,−3,5,,,0–1,1–0,1–3,—
