Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Milan,4–2,Bayern Munich,2–2,2–0
PSV Eindhoven,0–4,Liverpool,0–3,0–1
Roma,3–8,Manchester United,2–1,1–7
Chelsea,3–2,Valencia,1–1,2–1
