Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,LIV,PSV,BOR,GAL
1,Liverpool,6,4,1,1,11,5,+6,13,Advance to knockout stage,,—,2–0,3–0,3–2
2,PSV Eindhoven,6,3,1,2,6,6,0,10,Advance to knockout stage,,0–0,—,1–3,2–0
3,Bordeaux,6,2,1,3,6,7,−1,7,Transfer to UEFA Cup,,0–1,0–1,—,3–1
4,Galatasaray,6,1,1,4,7,12,−5,4,,,3–2,1–2,0–0,—
