Rank[14],Player,Team,Goals,Minutes played
1,Kaká,Milan,10,1082
2,Peter Crouch,Liverpool,6,576
2,Ruud van Nistelrooy,Real Madrid,6,584
2,Fernando Morientes,Valencia,6,620
2,Didier Drogba,Chelsea,6,1055
6,Raúl,Real Madrid,5,603
7,Nicolae Dică,Steaua București,4,532
7,Louis Saha,Manchester United,4,464
7,Claudio Pizarro,Bayern Munich,4,620
7,Filippo Inzaghi,Milan,4,673
7,David Villa,Valencia,4,702
7,Francesco Totti,Roma,4,800
7,Wayne Rooney,Manchester United,4,1062
