Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,MUN,CEL,BEN,CPH
1,Manchester United,6,4,0,2,10,5,+5,12,Advance to knockout stage,,—,3–2,3–1,3–0
2,Celtic,6,3,0,3,8,9,−1,9,Advance to knockout stage,,1–0,—,3–0,1–0
3,Benfica,6,2,1,3,7,8,−1,7,Transfer to UEFA Cup,,0–1,3–0,—,3–1
4,Copenhagen,6,2,1,3,5,8,−3,7,,,1–0,3–1,0–0,—
