Phase,Round,Draw date,First leg,Second leg
Qualifying,First qualifying round,23 June 2006,11–12 July 2006,18–19 July 2006
Qualifying,Second qualifying round,23 June 2006,25–26 July 2006,1–2 August 2006
Qualifying,Third qualifying round,28 July 2006,8–9 August 2006,22–23 August 2006
Group stage,Matchday 1,24 August 2006 (Monaco),12–13 September 2006,12–13 September 2006
Group stage,Matchday 2,24 August 2006 (Monaco),26–27 September 2006,26–27 September 2006
Group stage,Matchday 3,24 August 2006 (Monaco),17–18 October 2006,17–18 October 2006
Group stage,Matchday 4,24 August 2006 (Monaco),31 October – 1 November 2006,31 October – 1 November 2006
Group stage,Matchday 5,24 August 2006 (Monaco),21–22 November 2006,21–22 November 2006
Group stage,Matchday 6,24 August 2006 (Monaco),5–6 December 2006,5–6 December 2006
Knockout phase,Round of 16,15 December 2006,20–21 February 2007,6–7 March 2007
Knockout phase,Quarter-finals,9 March 2007,3–4 April 2007,10–11 April 2007
Knockout phase,Semi-finals,9 March 2007,24–25 April 2007,1–2 May 2007
Knockout phase,Final,9 March 2007,"23 May 2007 at Olympic Stadium, Athens","23 May 2007 at Olympic Stadium, Athens"
