Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,VAL,ROM,SHK,OLY
1,Valencia,6,4,1,1,12,6,+6,13,Advance to knockout stage,,—,2–1,2–0,2–0
2,Roma,6,3,1,2,8,4,+4,10,Advance to knockout stage,,1–0,—,4–0,1–1
3,Shakhtar Donetsk,6,1,3,2,6,11,−5,6,Transfer to UEFA Cup,,2–2,1–0,—,2–2
4,Olympiacos,6,0,3,3,6,11,−5,3,,,2–4,0–1,1–1,—
