Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,LYO,RMA,STE,DKV
1,Lyon,6,4,2,0,12,3,+9,14,Advance to knockout stage,,—,2–0,1–1,1–0
2,Real Madrid,6,3,2,1,14,8,+6,11,Advance to knockout stage,,2–2,—,1–0,5–1
3,Steaua București,6,1,2,3,7,11,−4,5,Transfer to UEFA Cup,,0–3,1–4,—,1–1
4,Dynamo Kyiv,6,0,2,4,5,16,−11,2,,,0–3,2–2,1–4,—
