Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,CHE,BAR,BRM,LSO
1,Chelsea,6,4,1,1,10,4,+6,13,Advance to knockout stage,,—,1–0,2–0,2–0
2,Barcelona,6,3,2,1,12,4,+8,11,Advance to knockout stage,,2–2,—,2–0,5–0
3,Werder Bremen,6,3,1,2,7,5,+2,10,Transfer to UEFA Cup,,1–0,1–1,—,2–0
4,Levski Sofia,6,0,0,6,1,17,−16,0,,,1–3,0–2,0–3,—
