Phase,Round,Draw date,First leg,Second leg
Qualifying round,Qualifying round,20 July 1994,10 August 1994,24 August 1994
Group stage,Matchday 1,20 July 1994,14 September 1994,14 September 1994
Group stage,Matchday 2,20 July 1994,28 September 1994,28 September 1994
Group stage,Matchday 3,20 July 1994,19 October 1994,19 October 1994
Group stage,Matchday 4,20 July 1994,2 November 1994,2 November 1994
Group stage,Matchday 5,20 July 1994,23 November 1994,23 November 1994
Group stage,Matchday 6,20 July 1994,7 December 1994,7 December 1994
Knockout phase,Quarter-finals,20 July 1994,1 March 1995,15 March 1995
Knockout phase,Semi-finals,20 July 1994,5 April 1995,19 April 1995
Knockout phase,Final,20 July 1994,"24 May 1995 at Ernst-Happel-Stadion, Vienna","24 May 1995 at Ernst-Happel-Stadion, Vienna"
