Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,AJX,MIL,SAL,AEK
1,Ajax,6,4,2,0,9,2,+7,10,Advance to knockout stage,,—,2–0,1–1,2–0
2,Milan,6,3,1,2,6,5,+1,5[a],Advance to knockout stage,,0–2,—,3–0,2–1
3,Casino Salzburg,6,1,3,2,4,6,−2,5,,,0–0,0–1,—,0–0
4,AEK Athens,6,0,2,4,3,9,−6,2,,,1–2,0–0,1–3,—
