Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,GOT,BAR,MUN,GAL
1,IFK Göteborg,6,4,1,1,10,7,+3,9,Advance to knockout stage,,—,2–1,3–1,1–0
2,Barcelona,6,2,2,2,11,8,+3,6,Advance to knockout stage,,1–1,—,4–0,2–1
3,Manchester United,6,2,2,2,11,11,0,6,,,4–2,2–2,—,4–0
4,Galatasaray,6,1,1,4,3,9,−6,3,,,0–1,2–1,0–0,—
